contentid,contenttypeid,heritage1,heritage2,heritage3,infocenter,opendate,restdate,expguide,expagerange,accomcount,useseason,usetime,parking,chkbabycarriage,chkpet,chkcreditcard,seat,kidsfacility,firstmenu,treatmenu,smoking,packing,infocenterfood,scalefood,parkingfood,opendatefood,opentimefood,restdatefood,discountinfofood,chkcreditcardfood,reservationfood,lcnsno,scale,usefee,discountinfo,spendtime,parkingfee,infocenterculture,accomcountculture,usetimeculture,restdateculture,parkingculture,chkbabycarriageculture,chkpetculture,chkcreditcardculture,sponsor1,sponsor1tel,sponsor2,sponsor2tel,eventenddate,playtime,eventplace,eventhomepage,agelimit,bookingplace,placeinfo,subevent,program,eventstartdate,usetimefestival,discountinfofestival,spendtimefestival,festivalgrade,progresstype,festivaltype,saleitem,saleitemcost,fairday,opendateshopping,shopguide,culturecenter,restroom,infocentershopping,scaleshopping,restdateshopping,parkingshopping,chkbabycarriageshopping,chkpetshopping,chkcreditcardshopping,opentime,distance,schedule,taketime,theme,roomcount,roomtype,refundregulation,checkintime,checkouttime,chkcooking,seminar,sports,sauna,beauty,beverage,karaoke,barbecue,campfire,bicycle,fitness,publicpc,publicbath,subfacility,foodplace,reservationurl,pickup,infocenterlodging,parkinglodging,reservationlodging,scalelodging,accomcountlodging,openperiod,reservation,infocenterleports,scaleleports,accomcountleports,restdateleports,usetimeleports,usefeeleports,expagerangeleports,parkingleports,parkingfeeleports,chkbabycarriageleports,chkpetleports,chkcreditcardleports
2872442,39,,,,,,,,,,,,,,,,,0,물밀면,비빔밀면 / 찐만두,,,051-727-5585,,가능,,- 10:10~19:30<br>- 점심 마지막 주문 14:50<br>- 준비시간 15:00~16:00<br>- 저녁 마지막 주문 19:20,연중무휴,,,,20050156146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304695,12,0,0,0,051-852-2436,,연중무휴,,,,,상시 개방,가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415203,39,,,,,,,,,,,,,,,,,0,클램 차우더 수프와 하우스 포카치아,보드카 로제 파스타와 갈릭 쉬림프 / 단호박 커리수프 / 만달리 콥 샐러드 등,,,010-3246-1706,,가능<br>요금 (무료),,10:00~20:00 (마지막 주문 19:00),매주 월요일,,,,20080156154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013694,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가방 / 모자 / 의류,,,1950년 5월,,,,부산중구관광안내소 051-254-5504,,"매월 첫째, 셋째 일요일",가능,,,가능,09:00~20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810909,39,,,,,,,,,,,,,,,,,0,동치미 막국수,비빔 막국수 / 옹심이 메밀 칼국수 / 메밀싹 수육 등,,,0507-1315-2234,,가능,,11:00~21:00 (준비 시간 15:30~17:00),매주 월요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2867715,39,,,,,,,,,,,,,,,,,0,전복과 가자미 미역국,황제 미역국 / 민물 장어구이 한판 / 조개 미역국 등,,가능,051-714-5734,,불가능,,10:00~21:00 (준비시간 15:00~17:00),매주 일요일,,가능,,19920126080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2853079,39,,,,,,,,,,,,,,,,,0,만선해물탕,실속해물탕 / 조개찜 / 새우찜 등,,,0507-1336-9289,,가능,,11:30~22:00,매주 화요일,,,,20150156376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872611,39,,,,,,,,,,,,,,,,,0,갈미샤브샤브,갈미조개삼겹살 / 갈미수육 / 볶음밥 등,,,051-271-4389,,가능,,11:00~21:00 (마지막 주문 20:15),"매월 둘째, 넷째 월요일",,가능,,20020149112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891826,39,,,,,,,,,,,,,,,,,0,한우 불고기,산더미 물갈비 / 미국산 불고기 / 쌈싸먹는 김치찌개 등,,가능,0507-1339-4947,,가능,,- 11:00~22:00<br>- 마지막 주문 21:00,연중무휴,,,,20140141814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891849,39,,,,,,,,,,,,,,,,,0,생오리불고기,한방능이오리백숙 / 오리백숙 / 생오리소금구이 등,,가능,0507-1317-5293,,가능,,- 11:00~21:30<br>- 마지막 주문 20:30,연중무휴,,,,20080141035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393457,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91km,기타,6시간,----지자체-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250424,12,0,0,0,부산광역시 강서구청 문화체육과 051-970-4065,,연중무휴,,,,,상시 개방,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2841499,39,,,,,,,,,,,,,,,,,0,오션라떼,베리베리굿라떼 / 팡도르 / 바닐라빈 라떼 등,,가능,051-724-5145,,가능,,10:30~21:00 (마지막 주문 20:30),연중무휴,,가능,,20190156436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2847910,39,,,,,,,,,,,,,,,,,0,메밀국수,감자옹심이 / 왕갈비 수제 떡만두국 / 메밀짬뽕 등,,가능,051-724-4478,,가능,,- 11:00~20:30<br>- 마지막 주문 20:00,연중무휴,,,,20190156613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2847893,39,,,,,,,,,,,,,,,,,0,문동라떼,아메리카노 / 플레인베이글 / 시나몬피칸베이글 등,,,0507-1360-1469,,가능,,09:00~20:00,연중무휴,,가능,,20220199572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850466,39,,,,,,,,,,,,,,,,,0,추어탕,민물장어구이 / 논고동찜 / 어탕국수 등,모두 금연석,가능,051-517-4114,,가능<br>요금 (1시간 30분 무료),,11:30~21:30 (준비 시간 16:00~17:00),매월 첫째 주 일요일,,가능,전화 예약 문의 (051-517-4114),19970147119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742601,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,생선회 / 건어물 등,,,연중무휴,,,있음,051-271-2234,,점포 별로 상이함,가능,,,,08:00~23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752976,39,,,,,,,,,,,,,,,,,0,쭈꾸미 보쌈,정갈한상 / 실속한상 / 보쌈족발 / 해물순두부찌개 등,,,0507-1348-9599,,불가능,,- 11:00~21:00<br>- 점심 마지막 주문 14:30<br>- 준비시간 15:00~17:00<br>- 저녁 마지막 주문 20:30,연중무휴,,,,20200149139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572851,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,양실,에어비앤비 규정,16:00,11:00,불가(공용주방 이용),0,0,0,0,1,0,0,0,0,0,0,0,세탁실,있음,https://airbnb.co.kr/h/catnap08,불가,0507-1423-9782,가능,홈페이지,6층 단독건물,16,,,,,,,,,,,,,,
2832729,39,,,,,,,,,,,,,,,,,0,오늘의 핸드드립,쿨타임 / 모두의 정원 / 바닐라 밀크 등,,가능,051-512-7036,,가능,,08:00~18:00 (마지막 주문 17:30),연중무휴,,가능,,20120147146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820382,39,,,,,,,,,,,,,,,,,0,한우등심,한식뷔페 / 고르곤졸라피자 등,모두 금연석,,051-404-5000,,가능<br>요금 (무료),,11:30~21:30 (마지막 주문 20:20),연중무휴,,,,20150130165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2852419,39,,,,,,,,,,,,,,,,,0,돼지국밥,수육백반 / 메밀막국수 / 전통순대 등,,,0507-1425-0469,,불가능,,09:00~20:00 (마지막 주문 19:35),연중무휴,,가능,,20200128242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2862337,39,,,,,,,,,,,,,,,,,0,특 한돈꽃삼겹,한우 꽃등심 / 이베리코 / 특 한돈 항정살 등,,,010-5758-1470,,가능,,- 월요일~금요일 17:00~23:30<br>- 토요일 13:00~22:30<br>- 일요일 12:30~22:00,연중무휴,,,100% 네이버 예약,20220161091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304811,12,0,0,0,051-467-2390,,연중무휴,,,,,06:00~18:00,가능<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776396,39,,,,,,,,,,,,,,,,,0,붕장어구이,매운탕 / 모듬회 / 전복죽 등,,,051-721-2956,,가능,,11:00~21:00,연중무휴,,가능,현장예약 (선착순),19800156020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381567,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해운대관광안내소 051-749-5700,,,연중무휴,상시 개방,,,가능,,,,
2891868,39,,,,,,,,,,,,,,,,,0,모차렐라 치즈,치즈먹은새우 / 바비큐 치즈 / 아메리카노 등,,가능,,,가능,,- 14:30~02:30<br>- 마지막 주문 02:00,매주 화요일,,,,20170141651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851907,39,,,,,,,,,,,,,,,,,0,쌈밥,불고기쌈밥 / 생태탕 등,,,051-626-2292,,가능,,11:00~21:00 (20:20 라스트오더),"둘째주, 넷째주 월요일",,없음,,19920137096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132805,39,,,,,,,,,,,,,,,,,0,아귀찜,아귀수육 / 아귀탕,모두 금연석,일부 메뉴 포장 가능,051-257-3230,,가능,,10:00~22:00,연중무휴,,가능,전화 예약 가능 (051-257-3230),19790126007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732397,12,0,0,0,051-343-1179,,연중무휴,수중사진촬영,,,,"09:00~23:00<br>
※ 예약 필수",가능<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872395,39,,,,,,,,,,,,,,,,,0,생고기모듬,한우등심불고기 / 등심 / 낙엽살 등,,,0507-1426-9441,,가능,,11:00~20:30 (마지막 주문 19:30),연중무휴,,,,20020156250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309293,12,0,0,0,051-519-4092,,연중무휴,,,,,상시 개방,불가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2869595,39,,,,,,,,,,,,,,,,,0,자장면,짬뽕 / 부용게살 / 사천탕수육 등,,가능,051-555-6609,,가능,,11:30~21:30 (마지막 주문 20:30),연중무휴,,가능,,19960134452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985921,12,0,0,0,051-244-7691,,연중무휴,,,,,"10:00~20:00<br>
※ 자세한 사항은 전화문의 요망",불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776391,39,,,,,,,,,,,,,,,,,0,앙장구밥,갈치구이 / 갈치찌개 / 참가자미물회 등,,,051-721-7050,,가능,,10:00~20:00 (마지막 주문 19:40),매주 수요일,,,전화문의,19890156045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784330,12,0,0,0,해운대관광안내소 051-749-5700,,연중무휴,,,,,상시 개방,가능<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532667,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,양실,온라인 예약 시 해당 업체의 환불 규정에 따름,15:00,11:00,가능,0,0,0,0,0,0,0,0,0,0,0,0,,,https://map.naver.com/p/entry/place/1921508918,불가,0507-1420-4572,불가,"가능(네이버예약, 에어비앤비)",,,,,,,,,,,,,,,,
127149,12,0,0,0,051-790-7400,1999년 10월 16일(부마민주항쟁 20주년 기념일),"매주 월요일 (단, 공휴일이 월요일인 경우 그 다음 평일 휴관) / 1월 1일 / 설·추석 당일",민주공원 스토리투어 / 민주항쟁기념관 전시해설 / 민주공원 숲체험,,,,09:00~18:00,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2868655,39,,,,,,,,,,,,,,,,,0,소한마리 해장국,소 갈비 수육 / 소한마리 우동국밥 / 수육냉면무침 등,,불가,0507-1483-5515,,불가능,,09:00~22:00 (마지막 주문 21:00),연중무휴,,가능,,20190152352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872574,39,,,,,,,,,,,,,,,,,0,박가네순두부,해물순두부 / 맑은순두부 / 김치순두부 등,,,0507-1440-8820,,,,- 09:00~20:00<br>- 마지막 주문 19:30,매주 화요일,,,,20170149003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823059,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,,,,051-709-3975,,09:00~18:00 (입장 마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음날) / 1월 1일 / 설·추석 당일",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756690,39,,,,,,,,,,,,,,,,,0,해물밥상,불고기낙지밥상 / 보리굴비밥상 / 전복해물밥상 / 스페셜밥상 / 멍게회 등,,가능,051-525-0120,,가능 (소형 60대)<br>요금 (무료),,11:00~22:00 (라스트오더 21:00)<br>(주말 브레이크타임 15:00~16:00),연중무휴,,가능,051-525-0120,20170134110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787408,39,,,,,,,,,,,,,,,,,0,아메리카노,카페라떼 / 바닐라라떼 / 카라멜마끼아또 등,,가능,010-2492-1461,,가능,,11:00~21:00,매주 월요일,,,,20200141511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2875862,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,농산물 / 수산물 / 축산물 / 채소 / 생필품 등,,,,,,,해운대 관광안내소 051-749-5700,,※ 점포마다 상이함,가능,,,,※ 점포마다 상이함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907087,12,0,0,0,해운대구청 늘푸른과 051-749-4496,,연중무휴,,,,,상시 개방,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130796,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,,,,051-749-6081,,"[종합자료실]<br>
- 화요일~금요일 09:00~22:00<br>
- 토요일 09:00~18:00<br>
- 일요일 09:00~17:00<br>
[어린이자료실]<br>
- 화요일~금요일 09:00~18:00<br>
- 토요일 09:00~18:00<br>
- 일요일 09:00~17:00<br>
※ 자세한 사항은 홈페이지 참조",매주 월요일 / 국경일 / 정부 지정 공휴일 / 기타 관장이 필요하다고 인정하는 날,가능,없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2865941,39,,,,,,,,,,,,,,,,,0,추어탕,메기매운탕 / 오리백숙 / 찌짐 등,,가능,051-721-9048,,가능,,- 09:00~19:00<br>- 마지막 주문 18:55,매주 수요일,,,,20150156529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571959,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,15:00,10:00,,0,0,0,0,0,0,0,0,0,0,0,0,,,,불가,0503-5052-4714,가능(3대),전화(0503-5052-4714),,18명,,,,,,,,,,,,,,
2840921,39,,,,,,,,,,,,,,,,,0,풍기트러플피자,비스마르크피자 / 엔초비오일 링귀니 / 뉴욕클래식 등,,가능,051-271-2068,,가능,,11:30~20:30 (준비 시간 14:30~17:00),연중무휴,,가능,가능,20180149266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2869113,39,,,,,,,,,,,,,,,,,0,궁중약계탕,동래삼계탕 등,,가능,051-555-2464,,가능,,11:00~20:30 (마지막 주문 19:30),"매주 월요일, 화요일",,가능,,19960134646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677748,12,0,0,0,부산 사상구청 녹지공원과 051-310-4548,,연중무휴,,,,,상시 개방,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554111,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무료,,약 1시간,,051-508-6139,,09:30~17:00,매주 월요일,가능<br>요금 (무료),불가,,불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708108,12,0,0,0,부산광역시 동구청 문화관광과 051-440-4711,,연중무휴,,,,,상시 개방,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309338,12,0,0,0,051-553-7771,,연중무휴,,,,,05:00~18:00,가능,불가,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533137,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,양실,온라인 예약 시 해당 업체의 환불 규정에 따름,15:00,11:00,가능,0,0,0,0,0,0,0,0,0,0,0,0,,,https://www.wehome.me/rooms/2014568,불가,에어비앤비 또는 위홈 메시지,불가,"가능(에어비엔비예약, 위홈)",,,,,,,,,,,,,,,,
2811461,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,양실,"체크인 3일 전 취소 100%환불, 체크인 2일 전 취소 50%환불, 체크인 1일 전 환불불가당일취소: 환불 불가, 사전 통보 없이 불박: 환불 불가",15:00,11:00,불가,0,0,0,0,1,0,0,0,0,0,1,0,"셀프세탁실, 베이루프탑수영장, 비지니스실, 세탁세제는 프론트에서 별도 구매 가능, 수영장 선베드 외 대형 카바나 3대(유료), 2시간 3만원(와인2잔_동절기 한하여 온수매트, 온풍기, 담요대여 포함), 베이루프탑 수영장: 이용시간(하계 3월~10월 8:00AM~10:00PM, 동계 11월~2월 9:00AM~9:00PM), 노키즈타임(14세 이하 입장제한 있음): 하계 오후 8시부터 입장 제한, 동계 오후 7시부터 입장 제한, 비즈니스룸 출력서비스: A4사이즈만 가능하며 용지는 프론트에 요청하면 됨",있음,"<a href=""http://www.baymond.co.kr/"" target=""_blank"" title=""새창 : 베이몬드호텔 홈페이지로 이동"">http://www.baymond.co.kr/</a>",불가,051-702-0001,가능,"가능(051-702-0001, 홈페이지)",지상 15층,180,,,,,,,,,,,,,,
3028593,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69개 객실,스탠다드 더블 룸 / 스탠다드 트윈 룸 / 디럭스 더블 룸 오션뷰 / 헐리우드 트윈 룸 등,,15:00,11:00,불가,0,0,0,0,1,0,0,0,0,0,0,0,,,,,051-413-1114,가능,,,160명,,,,,,,,,,,,,,
130668,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 이용시설마다 상이하므로 홈페이지 참조,,,,051-740-7300,,※ 이용시설마다 상이하므로 홈페이지 참조,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840956,39,,,,,,,,,,,,,,,,,0,나타(포르투갈 에그타르트),대파빵 / 깨먹는 요거트 스무디 / 에스프레소 브륄레 등,,가능,051-710-6677,,가능,,08:30~21:30 (루프탑 마감 20:30),연중무휴,,가능,,20190149717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607242,12,0,0,0,051-646-6461,,연중무휴,,,,,"상시 개방<br>
※ 자세한 사항은 전화문의 요망",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2789334,12,0,0,0,051-970-4531~5,,연중무휴,,,,,상시 개방,가능(약 25대)<br>요금 (무료),없음,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2870885,39,,,,,,,,,,,,,,,,,0,츄잉 베이글,치토바 / 흥국쌀식빵 / 우유토스트 등,,가능,051-266-8290,,가능,,10:00~22:30,연중무휴,,,,20210144400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785270,39,,,,,,,,,,,,,,,,,0,사천짜장,사천짬뽕 / 돈부리 / 짜장면 등,,,051-291-7834,,가능,,- 10:30~21:00<br>- 마지막 주문 19:50,매주 화요일,,,,19750144005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
